SP,LogMass,LogLength,LogDiameter
24,2.12501256,2.838849091,1.395326393
24,2.270212855,3.004321374,1.724726319
24,2.357172258,2.838849091,1.426917714
24,2.361160995,2.929418926,1.742450174
24,2.369586891,2.973127854,1.657438323
24,2.400002346,2.897627091,1.561518774
24,2.617210095,3.100370545,1.647431874
24,2.967313918,3.113943352,2.081059123
24,3.24012473,3.147676324,1.96722026
24,3.260023661,3.178976947,2.083932402
24,3.26700737,3.1430148,1.807906928
24,3.297081738,3.187520721,1.927267681
24,3.355387722,3.049218023,1.828208614
24,3.630098928,3.330413773,1.997298992
24,3.943040891,3.404833717,2.10222783
25,-0.022276395,2.096910013,0.174641193
25,-0.022276395,2.041392685,0.414973348
25,0.648360011,2.591064607,0.553276046
25,0.774516966,2.447158031,0.736396502
25,0.774516966,2.916453949,0.737590166
25,0.774516966,2.447158031,0.805160902
25,0.809559715,2.447158031,0.830588669
25,0.926856709,2.322219295,0.868644438
25,0.951823035,2.505149978,0.990338855
25,0.975431809,2.58546073,0.913548958
25,1.01911629,2.447158031,0.894316063
25,1.039414119,2.477121255,0.960946196
25,1.077367905,2.397940009,0.936262342
25,1.290368556,2.40654018,0.802431626
26,-2.045757491,0.903089987,-0.263603498
26,-1.207608311,1.477121255,0.108903128
26,-1.193820026,1.322219295,0.01494035
26,-1.167491087,1.491361694,0.10720997
26,-1.13667714,1.380211242,0.041392685
26,-1,1.447158031,0.098643726
26,-0.723538196,1.51851394,0.152288344
26,-0.625251654,1.322219295,0.208172527
26,-0.454692884,1.51851394,0.314920056
26,-0.294992041,1.544068044,0.395326393
26,-0.257274869,1.698970004,0.377488383
26,-0.241845378,1.591064607,0.354108439
26,-0.066512712,1.477121255,0.511883361
26,-0.039053804,1.857332496,0.403120521
26,0.011147361,1.505149978,0.537189226
26,0.062581984,1.477121255,0.552059534
26,0.179838928,1.698970004,0.505149978
26,0.208172527,1.84509804,0.60906055
26,0.257678575,2.278753601,0.646893624
26,0.391464412,1.959041392,0.610127613
26,0.695569227,1.602059991,0.802773725
27,-1.301029996,1.398634325,0.440121603
27,-0.823908741,1.224791956,0.227886705
27,-0.455931956,1.48187241,0.492061605
27,-0.346787486,1.441066407,0.404833717
27,-0.346787486,1.433609843,0.472756449
27,-0.199970641,1.294245716,0.52179165
27,-0.124938737,1.388278863,0.640978057
27,0.021189299,1.552181339,0.633973156
27,0.130333768,1.491501766,0.669316881
27,0.190331698,1.525044807,0.695919253
27,0.190331698,1.42357352,0.760799312
27,0.290034611,1.62076049,0.868056362
27,0.40654018,1.455758203,0.802089258
27,0.58546073,1.640878779,0.855821905
27,0.596597096,1.641771471,0.90982337
27,0.607455023,1.686099772,0.842921121
27,0.618048097,1.709609121,1.035829825
27,0.788875116,1.774516966,0.911157609
27,0.883661435,1.840795899,0.894869657
27,0.900367129,1.705521613,0.958324932
27,0.919078092,1.578982843,0.889021422
27,0.951823035,1.881042108,0.733598461
27,0.997823081,1.698970004,0.938019097
27,1.035429738,1.823995591,0.968482949
27,1.062581984,1.77437096,0.99343623
27,1.077367905,1.895588276,0.75089392
27,1.098643726,1.707570176,0.895422546
27,1.118925753,1.87604455,0.850646235
27,1.125481266,1.77815125,0.910090546
27,1.128722284,2.093456707,0.688419822
27,1.141449773,1.822168079,0.84540814
27,1.161368002,1.657151502,1.019739233
27,1.188928484,1.947384702,0.781755375
27,1.188928484,1.998215732,0.812913357
27,1.188928484,1.885530833,0.965201701
27,1.205475037,1.860338007,0.87909588
27,1.218797998,1.86923172,0.931966115
27,1.224014811,1.840419778,1.023458238
27,1.277609214,1.945320841,0.959041392
27,1.282168778,1.92417587,0.953276337
27,1.282168778,1.954242509,1.009663317
27,1.308564414,1.875061263,0.946452265
27,1.308564414,1.922465945,1.080085085
27,1.3232521,1.929418926,0.955447211
27,1.335457901,1.812913357,1.268811904
27,1.337459261,1.942008053,1.003245055
27,1.343408594,1.762078087,0.954724791
27,1.373831145,1.872214563,1.024690862
27,1.405687787,1.953131225,1.085825534
27,1.412460547,1.857875026,1.023046584
27,1.424064525,1.980367026,0.960946196
27,1.425697213,2.159416788,1.080085085
27,1.432167269,2,0.906604372
27,1.432167269,1.989494313,0.999130541
27,1.482158695,1.925208921,0.924795996
27,1.513883186,2.05422991,1.12515583
27,1.525692525,1.75327657,1.272769587
27,1.590507462,1.816970038,1.16952749
27,1.626340367,1.843045811,1.037227235
27,1.667919685,1.84509804,1.073901558
27,1.714748761,1.918030337,1.007961033
27,1.764549719,1.98517939,1.067628717
27,1.98721923,2.342422681,1.214578954
28,0.590730406,2.40654018,0.752048448
28,0.649529566,2.403120521,0.717254313
28,0.694605199,2.568201724,0.765668555
28,0.880642126,2.633468456,0.694605199
